# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-40-16-21-3-01-014|R3
22-40-16-21-3-01-015|R3
22-40-16-21-3-01-015.01|R3
22-40-16-21-3-01-016|R3
22-40-16-21-3-01-017|R3
22-40-16-27-2-00-001|P/SP
22-40-16-27-3-00-003|R1
22-40-16-27-3-00-003.01|R1
22-40-16-27-3-00-003.02|R1
22-40-16-27-3-00-003.03|R1
22-40-16-27-3-00-003.1|R1
22-40-16-27-3-00-003.2|R1
22-40-16-27-3-00-003.3|R1
22-40-16-27-3-00-003.4|R1
22-40-16-27-3-00-003.5|R1
22-40-16-27-3-00-003.6|R1
22-40-16-27-3-00-003.7|R1
22-40-16-27-3-00-004|BC
22-40-16-27-3-00-004.03|BC
22-40-16-27-3-00-004.04|BC
22-40-16-27-3-00-004.05|BC
22-40-16-27-3-00-004.06|BC
22-40-16-27-3-00-004.07|BC
22-40-16-27-3-00-004.08|BC
22-40-16-27-3-00-004.09|BC
22-40-16-27-3-00-004.10|BC
22-40-16-27-3-00-004.11|R1
22-40-16-27-3-00-004.12|R1
22-40-16-27-3-00-004.13|BC
22-40-16-27-3-00-004.14|BC
22-40-16-27-3-00-004.15|BC
22-40-16-27-3-00-004.16|BC
22-40-16-27-3-00-004.17|BC
22-40-16-27-3-00-004.18|BC
22-40-16-27-3-00-004.19|BC
22-40-16-27-3-00-004.21|BC
22-40-16-27-3-00-004.22|BC
22-40-16-27-3-00-004.23|BC
22-40-16-27-3-00-004.24|BC
22-40-16-27-3-00-004.25|BC
22-40-16-27-3-00-004.26|BC
22-40-16-27-3-00-004.27|BC
22-40-16-27-3-00-004.28|BC
22-40-16-27-3-00-004.29|BC
22-40-16-27-3-00-004.30|BC
22-40-16-27-3-00-004.31|BC
22-40-16-27-3-00-004.32|BC
22-40-16-27-3-00-004.33|BC
22-40-16-27-3-00-004.34|BC
22-40-16-27-3-00-004.35|BC
22-40-16-27-3-00-004.36|BC
22-40-16-27-3-00-004.37|BC
22-40-16-27-3-00-004.38|BC
22-40-16-27-3-00-004.39|BC
22-40-16-27-3-00-004.40|R1
22-40-16-27-3-00-004.41|R1
22-40-16-27-3-00-004.42|R1
22-40-16-27-3-00-004.43|R1
22-40-16-27-3-00-004.44|R1
22-40-16-27-3-00-004.45|BC
22-40-16-27-3-00-004.46|BC
22-40-16-27-3-00-005|R1
22-40-16-27-3-00-006|P/SP
22-40-16-28-1-00-001|P/SP
22-40-16-28-1-00-002|PUD R1
22-40-16-29-1-00-003|P/SP
22-40-16-29-2-00-001|R2
22-40-16-29-2-01-001|R3
22-40-16-29-2-01-002|R3
22-40-16-29-2-01-003|R3
22-40-16-29-2-01-004|R3
22-40-16-29-2-01-005|R3
22-40-16-29-2-01-006|R3
22-40-16-29-2-01-007|R3
22-40-16-29-2-01-008|R3
22-40-16-29-2-01-009|R3
22-40-16-29-2-01-010|R3
22-40-16-29-2-01-011|R3
22-40-16-29-2-01-012|R3
22-40-16-29-2-01-013|R3
22-40-16-29-2-02-002|R3
22-40-16-29-2-02-003|R3
22-40-16-29-2-02-004|R3
22-40-16-29-2-04-001|R2
22-40-16-29-2-04-002|R2
22-40-16-29-3-00-002|R1
22-40-16-29-3-00-003|R1
22-40-16-29-3-00-004|R1
22-40-16-30-1-00-001|R1
22-40-16-30-1-00-002|R1
22-40-16-30-1-00-003|R1
22-40-16-30-1-00-004|R1
22-40-16-30-2-00-001|R1
22-40-16-30-2-00-002|R1
22-40-16-30-2-00-003|R1
22-40-16-30-2-00-004|R1
22-40-16-30-3-00-005|P/SP
22-40-16-30-3-00-007|R1
22-40-16-31-1-00-003|R1
22-40-16-31-2-00-001|R1
22-40-16-31-3-00-001|R1
22-40-16-32-1-00-002|R1
22-40-16-32-1-00-003|R1
22-40-16-32-1-00-004|R1
22-40-16-32-1-00-005|R1
22-40-16-32-1-00-006|R1
22-40-16-32-3-00-001|R1
22-40-16-32-3-00-002|R1
22-40-16-32-3-00-003|R1
22-40-16-32-4-00-001|R1
22-40-16-33-2-00-004|R3
22-40-16-33-2-00-005|R3
22-40-16-33-2-00-006|R3
22-40-16-33-2-00-007|R3
22-40-16-33-2-00-008|R2
22-40-16-33-2-00-009|R2
22-40-16-33-2-00-012|R2
22-40-16-33-2-00-013|R2
22-40-16-33-4-00-010|R1
22-40-16-33-4-00-012|R2
22-40-16-33-4-00-013|R2
22-40-16-33-4-00-014|R2
22-40-16-33-4-00-015|R2
22-40-16-34-1-00-016|R1
22-40-16-34-3-00-010|R1
22-40-16-34-3-00-011|P/SP
22-40-16-34-4-00-006|R2
22-40-16-34-4-00-008|R2
22-40-16-34-4-00-009|R2
22-40-16-34-4-00-019|R1
22-40-16-34-4-00-020|R2
22-40-16-34-4-00-021|R2
22-40-16-34-4-00-022|R2
22-40-16-35-1-03-001|R2
22-40-16-35-1-03-002|R2
22-40-16-35-1-03-003|R2
22-40-16-35-1-03-005|R2
22-40-16-35-1-03-006|R2
22-40-16-35-1-05-002|R2
22-40-16-35-1-05-003|R2
22-40-16-35-1-05-004|R2
22-40-16-35-1-05-005|R2
22-40-16-35-1-05-006|R2
22-40-16-35-1-05-007|R2
22-40-16-35-1-06-010|R2
22-40-16-35-1-07-001|R2
22-40-16-35-1-08-001|R2
22-40-16-35-1-08-002|R2
22-40-16-35-1-08-003|R2
22-40-16-35-1-08-004|R2
22-40-16-35-1-08-005|R2
22-40-16-35-1-08-006|R2
22-40-16-35-1-08-007|R2
22-40-16-35-1-09-001|R2
22-40-16-35-1-09-002|R2
22-40-16-35-2-00-001|R2
22-40-16-35-2-00-004|R2
22-40-16-35-2-00-005|R2
22-40-16-35-2-00-006|R2
22-40-16-35-2-00-007|R2
22-40-16-35-2-00-008|R2
22-40-16-35-2-00-009|R2
22-40-16-35-2-00-010|R2
22-40-16-35-2-00-011|R2
22-40-16-35-2-00-012|R2
22-40-16-35-2-00-013|R2
22-40-16-35-2-00-014|R2
22-40-16-35-2-00-015|R2
22-40-16-35-2-00-016|R2
22-40-16-35-2-07-001|R2
22-40-16-35-2-07-002|R2
22-40-16-35-2-07-003|R2
22-40-16-35-2-07-004|R2
22-40-16-35-2-07-005|R2
22-40-16-35-2-07-006|R2
22-40-16-35-2-07-007|R2
22-40-16-35-2-07-008|R2
22-40-16-35-3-00-014|R2
22-40-16-35-3-00-015|R2
22-40-16-35-3-00-016|R2
22-40-16-35-3-00-017|R2
22-40-16-35-3-00-018|R2
22-40-16-35-3-00-020|R2
22-40-16-35-3-00-021|R2
22-40-16-35-3-00-022|R2
22-40-16-35-3-00-023|R2
22-40-16-35-3-10-001|R2
22-40-16-35-3-10-002|R2
22-40-16-35-3-10-003|R2
22-40-16-35-3-10-004|R2
22-40-16-35-3-10-005|R2
22-40-16-35-3-10-006|R2
22-40-16-35-4-00-023|R2
22-40-16-35-4-00-024|R2
22-40-16-35-4-00-025|R2
22-40-16-35-4-06-003|R2
22-40-16-35-4-06-004|R2
22-40-16-35-4-06-005|R2
22-40-16-35-4-06-006|R2
22-40-16-35-4-06-007|R2
22-40-16-35-4-06-011|R2
22-40-16-35-4-12-001|R2
22-40-16-35-4-13-001|R2
22-40-16-35-4-13-002|R2
22-40-16-35-4-14-001|R2
22-40-16-35-4-14-002|R2
22-40-16-35-4-14-003|R2
22-40-16-35-4-14-004|R2
22-40-16-35-4-14-005|R2
22-40-16-35-4-14-006|R2
22-40-16-35-4-14-007|R2
22-40-16-35-4-14-008|R2
22-40-16-35-4-14-009|R2
22-40-16-35-4-14-010|R2
22-40-16-35-4-15-001|R2
22-40-16-35-4-15-002|R2
22-40-16-35-4-15-003|R2
22-40-16-35-4-15-004|R2
22-40-16-36-1-00-001|R1
22-40-17-01-1-01-001|PUD R2
22-40-17-01-1-01-002|PUD R2
22-40-17-01-1-01-003|PUD R2
22-40-17-01-1-01-005|PUD R2
22-40-17-01-1-01-006|PUD R2
22-40-17-01-1-01-007|PUD R2
22-40-17-01-1-01-018|PUD R2
22-40-17-01-1-01-019|PUD R2
22-40-17-01-1-01-020|PUD R2
22-40-17-01-1-01-021|PUD R2
22-40-17-01-2-00-002|R1
22-40-17-01-2-01-009|PUD R2
22-40-17-01-2-02-002|PUD R2
22-40-17-01-2-02-003|PUD R2
22-40-17-01-2-03-001|PUD R2
22-40-17-01-2-03-003|PUD R2
22-40-17-01-2-04-001|PUD R2
22-40-17-01-2-05-001|PUD R2
22-40-17-01-2-05-002|PUD R2
22-40-17-01-3-00-003|R1
22-40-17-01-3-00-004|R1
22-40-17-01-3-01-012|PUD R2
22-40-17-01-3-02-001|PUD R2
22-40-17-01-3-02-002|PUD R2
22-40-17-01-3-03-001|PUD R2
22-40-17-01-3-03-002|PUD R2
22-40-17-01-4-01-003|PUD R2
22-40-17-01-4-01-004|PUD R2
22-40-17-01-4-01-005|PUD R2
22-40-17-01-4-01-015|PUD R2
22-40-17-01-4-01-016|PUD R2
22-40-17-02-1-00-002|R1
22-40-17-02-1-00-002.01|R1
22-40-17-02-2-00-003|R1
22-40-17-02-2-00-004|R1
22-40-17-02-2-00-005|R2
22-40-17-02-2-00-006|R2
22-40-17-02-2-00-007|R2
22-40-17-02-2-00-008|R2
22-40-17-02-2-00-012|R1
22-40-17-02-2-00-014|R1
22-40-17-02-2-00-015|R1
22-40-17-02-3-00-009|R2
22-40-17-02-3-00-010|R2
22-40-17-02-3-00-011|R1
22-40-17-02-3-00-016|R1
22-40-17-03-2-00-002|R2
22-40-17-03-2-00-003|R1
22-40-17-03-2-00-004|R1
22-40-17-03-2-00-005|R1
22-40-17-03-2-00-007|R1
22-40-17-03-2-00-008|R1
22-40-17-03-2-00-009|R1
22-40-17-03-2-00-010|R1
22-40-17-03-2-00-011|R1
22-40-17-03-2-00-012|R1
22-40-17-03-2-00-013|R1
22-40-17-03-2-00-014|R1
22-40-17-03-2-00-015|R1
22-40-17-03-2-00-016|R1
22-40-17-03-2-00-019|R1
22-40-17-03-2-01-001|PUD R2
22-40-17-03-2-01-002|PUD R2
22-40-17-03-2-01-003|PUD R2
22-40-17-03-2-01-004|PUD R2
22-40-17-03-2-01-005|PUD R2
22-40-17-03-2-01-006|PUD R2
22-40-17-03-3-00-011|R2
22-40-17-03-3-00-012|R1
22-40-17-03-3-00-013|R1
22-40-17-03-3-00-014|R1
22-40-17-03-3-00-015|R1
22-40-17-03-3-00-017|R1
22-40-17-03-3-00-018|R1
22-40-17-03-3-00-019|R1
22-40-17-03-3-00-020|R1
22-40-17-03-3-00-021|R1
22-40-17-03-3-02-001|R3
22-40-17-03-3-02-003|R3
22-40-17-03-3-02-004|R3
22-40-17-03-3-02-005|R3
22-40-17-04-1-00-003|R1
22-40-17-04-1-00-006|R1
22-40-17-04-1-00-007|R1
22-40-17-04-1-00-008|R1
22-40-17-04-1-01-001|PUD R2
22-40-17-04-1-01-002|PUD R2
22-40-17-04-1-01-003|PUD R2
22-40-17-04-1-01-004|PUD R2
22-40-17-04-1-01-005|PUD R2
22-40-17-04-1-01-006|PUD R2
22-40-17-04-1-01-007|PUD R2
22-40-17-04-1-01-008|PUD R2
22-40-17-04-1-02-001|PUD R2
22-40-17-04-1-02-002|PUD R2
22-40-17-04-1-02-004|PUD R2
22-40-17-04-2-00-001|R1
22-40-17-04-2-00-003|R1
22-40-17-04-2-00-004|R1
22-40-17-04-2-00-005|R1
22-40-17-04-2-03-001|PUD R2
22-40-17-04-2-03-002|PUD R2
22-40-17-04-3-00-001|R1
22-40-17-04-3-00-002|R1
22-40-17-04-3-00-003|R1
22-40-17-04-4-00-001|R1
22-40-17-04-4-00-002|R1
22-40-17-04-4-00-003|R1
22-40-17-04-4-00-004|R1
22-40-17-04-4-00-005|R1
22-40-17-09-1-00-001|R1
22-40-17-10-1-00-010|R1
22-40-17-10-2-00-002|R2
22-40-17-10-2-00-003|R2
22-40-17-10-2-01-001|PUD R2
22-40-17-10-2-01-002|PUD R2
22-40-17-10-2-01-003|PUD R2
22-40-17-10-2-01-004|PUD R2
22-40-17-10-2-01-005|PUD R2
22-40-17-10-2-01-006|PUD R2
22-40-17-10-2-01-007|PUD R2
22-40-17-10-2-01-008|PUD R2
22-40-17-10-2-01-009|PUD R2
22-40-17-10-2-01-010|PUD R2
22-40-17-10-2-01-011|PUD R2
22-40-17-10-2-01-012|PUD R2
22-40-17-10-2-01-013|PUD R2
22-40-17-10-2-01-014|PUD R2
22-40-17-10-2-01-015|PUD R2
22-40-17-10-2-01-016|PUD R2
22-40-17-10-2-02-001|R2
22-40-17-10-2-02-002|R2
22-40-17-10-2-03-001|R1
22-40-17-10-2-03-002|R1
22-40-17-10-3-00-013|R1
22-40-17-10-3-00-014|R2
22-40-17-10-3-00-016|R1
22-40-17-10-3-00-017|R1
22-40-17-10-3-03-001|R3
22-40-17-10-3-03-002|R3
22-40-17-10-3-03-003|R3
22-40-17-10-3-03-006|R3
22-40-17-10-3-03-007|R3
22-40-17-10-3-03-008|R3
22-40-17-10-3-03-009|R3
22-40-17-10-3-03-010|R3
22-40-17-10-3-03-011|R3
22-40-17-10-3-03-012|R3
22-40-17-10-3-03-013|R3
22-40-17-10-3-03-014|R3
22-40-17-10-3-03-015|R3
22-40-17-10-3-03-016|R3
22-40-17-10-3-03-017|R3
22-40-17-10-3-03-018|R3
22-40-17-10-3-03-019|R3
22-40-17-10-3-03-020|R3
22-40-17-10-3-03-021|R3
22-40-17-10-3-03-022|R3
22-40-17-10-3-03-023|R3
22-40-17-10-3-03-024|R3
22-40-17-10-3-03-025|R3
22-40-17-10-3-03-026|R3
22-40-17-10-3-03-027|R3
22-40-17-10-3-03-028|R3
22-40-17-10-3-03-029|R3
22-40-17-10-3-03-030|R3
22-40-17-10-3-03-031|R3
22-40-17-10-3-03-032|R3
22-40-17-10-3-03-033|R3
22-40-17-10-3-03-034|R3
22-40-17-10-3-03-036|R3
22-40-17-10-3-03-038|R3
22-40-17-10-3-03-039|R3
22-40-17-10-3-03-041|R3
22-40-17-10-3-03-042|R3
22-40-17-10-3-03-043|R3
22-40-17-10-3-03-044|R3
22-40-17-10-3-03-046|R3
22-40-17-10-3-03-047|R3
22-40-17-10-3-04-001|R1
22-40-17-10-3-04-002|R3
22-40-17-10-3-04-003|R3
22-40-17-10-3-04-004|R3
22-40-17-10-3-04-005|R3
22-40-17-10-3-04-006|R3
22-40-17-10-3-04-007|R3
22-40-17-10-3-04-008|R3
22-40-17-10-3-04-009|R3
22-40-17-10-3-04-010|R3
22-40-17-10-3-04-011|R3
22-40-17-10-3-04-012|R3
22-40-17-10-3-04-013|R3
22-40-17-10-3-04-014|R3
22-40-17-10-3-04-015|R3
22-40-17-10-3-05-001|R3
22-40-17-10-4-00-012|R1
22-40-17-10-4-00-016|R1
22-40-17-11-1-00-004|R1
22-40-17-11-1-00-006|R1
22-40-17-11-1-00-009|R2
22-40-17-11-1-00-010|R2
22-40-17-11-2-00-009|R1
22-40-17-11-2-00-011|R1
22-40-17-11-4-00-014|R1
22-40-17-11-4-00-018|R2
22-40-17-11-4-00-019|R1
22-40-17-11-4-00-020|R1
22-40-17-11-4-00-021|R1
22-40-17-11-4-00-022|R1
22-40-17-11-4-00-023|R1
22-40-17-11-4-00-024|R1
22-40-17-12-1-01-001|PUD R3
22-40-17-12-1-01-002|PUD R3
22-40-17-12-1-01-003|PUD R3
22-40-17-12-1-01-004|PUD R3
22-40-17-12-1-01-005|PUD R3
22-40-17-12-1-01-006|PUD R3
22-40-17-12-1-01-007|PUD R3
22-40-17-12-1-01-008|PUD R3
22-40-17-12-1-01-009|PUD R3
22-40-17-12-1-01-010|PUD R3
22-40-17-12-1-01-011|PUD R3
22-40-17-12-1-01-012|PUD R3
22-40-17-12-1-01-013|PUD R3
22-40-17-12-1-01-014|PUD R3
22-40-17-12-1-01-015|PUD R3
22-40-17-12-1-01-016|PUD R3
22-40-17-12-1-01-017|PUD R3
22-40-17-12-1-01-018|PUD R3
22-40-17-12-1-01-019|PUD R3
22-40-17-12-1-01-020|PUD R3
22-40-17-12-1-01-024|PUD R3
22-40-17-12-1-01-025|PUD R3
22-40-17-12-1-01-026|PUD R3
22-40-17-12-1-01-027|PUD R3
22-40-17-12-1-01-028|PUD R3
22-40-17-12-1-01-029|PUD R3
22-40-17-12-1-01-030|PUD R3
22-40-17-12-1-01-031|PUD R3
22-40-17-12-1-01-032|PUD R3
22-40-17-12-1-01-033|PUD R3
22-40-17-12-1-01-034|PUD R3
22-40-17-12-1-01-035|PUD R3
22-40-17-12-1-01-036|PUD R3
22-40-17-12-1-01-037|PUD R3
22-40-17-12-1-01-038|PUD R3
22-40-17-12-1-01-039|PUD R3
22-40-17-12-1-01-040|PUD R3
22-40-17-12-1-01-041|PUD R3
22-40-17-12-1-01-042|PUD R3
22-40-17-12-1-01-043|PUD R3
22-40-17-12-1-01-044|PUD R3
22-40-17-12-1-01-045|PUD R3
22-40-17-12-1-01-046|PUD R3
22-40-17-12-1-01-047|PUD R3
22-40-17-12-1-01-048|PUD R3
22-40-17-12-1-01-049|PUD R3
22-40-17-12-1-01-050|PUD R3
22-40-17-12-1-01-051|PUD R3
22-40-17-12-1-02-001|PUD R3
22-40-17-12-1-02-002|PUD R3
22-40-17-12-1-02-003|PUD R3
22-40-17-12-1-02-004|PUD R3
22-40-17-12-2-00-004|R2
22-40-17-12-2-00-005|R2
22-40-17-12-2-02-001|PUD R3
22-40-17-12-2-02-002|PUD R3
22-40-17-12-3-00-009|R1
22-40-17-12-3-00-010|R1
22-40-17-12-3-01-001|PUD R3
22-40-17-12-3-02-001|PUD R3
22-40-17-12-4-01-021|PUD R3
22-40-17-12-4-01-022|PUD R3
22-40-17-12-4-01-023|PUD R3
22-40-17-12-4-01-024|PUD R3
22-40-17-12-4-01-025|PUD R3
22-40-17-12-4-01-026|PUD R3
22-40-17-12-4-01-027|PUD R3
22-40-17-12-4-01-039|PUD R3
22-40-17-12-4-01-040|PUD R3
22-40-17-12-4-01-041|PUD R3
22-40-17-12-4-01-042|PUD R3
22-40-17-12-4-01-043|PUD R3
22-40-17-12-4-01-044|PUD R3
22-40-17-12-4-01-045|PUD R3
22-40-17-12-4-01-046|PUD R3
22-40-17-12-4-01-047|PUD R3
22-40-17-12-4-01-048|PUD R3
22-40-17-12-4-01-049|PUD R3
22-40-17-12-4-01-050|PUD R3
22-40-17-12-4-01-051|PUD R3
22-40-17-12-4-01-052|PUD R3
22-40-17-12-4-01-053|PUD R3
22-40-17-12-4-01-054|PUD R3
22-40-17-12-4-01-055|PUD R3
22-40-17-12-4-01-056|PUD R3
22-40-17-12-4-01-057|PUD R3
22-40-17-12-4-01-058|PUD R3
22-40-17-12-4-01-059|PUD R3
22-40-17-12-4-01-060|PUD R3
22-40-17-12-4-01-061|PUD R3
22-40-17-12-4-01-062|PUD R3
22-40-17-12-4-01-063|PUD R3
22-40-17-12-4-01-064|PUD R3
22-40-17-12-4-01-065|PUD R3
22-40-17-12-4-01-066|PUD R3
22-40-17-12-4-01-067|PUD R3
22-40-17-12-4-01-068|PUD R3
22-40-17-12-4-01-069|PUD R3
22-40-17-12-4-01-070|PUD R3
22-40-17-12-4-01-071|PUD R3
22-40-17-12-4-01-072|PUD R3
22-40-17-12-4-01-073|PUD R3
22-40-17-12-4-01-074|PUD R3
22-40-17-12-4-01-075|PUD R3
22-40-17-12-4-01-076|PUD R3
22-40-17-12-4-01-077|PUD R3
22-40-17-12-4-01-078|PUD R3
22-40-17-12-4-01-079|PUD R3
22-40-17-12-4-01-080|PUD R3
22-40-17-12-4-01-081|PUD R3
22-40-17-12-4-01-082|PUD R3
22-40-17-12-4-01-083|PUD R3
22-40-17-12-4-01-084|PUD R3
22-40-17-12-4-01-085|PUD R3
22-40-17-12-4-01-093|PUD R3
22-40-17-12-4-01-094|PUD R3
22-40-17-12-4-01-095|PUD R3
22-40-17-12-4-02-001|PUD R3
22-40-17-12-4-02-002|PUD R3
22-40-17-12-4-02-003|PUD R3
22-40-17-12-4-02-004|PUD R3
22-40-17-12-4-02-005|PUD R3
22-40-17-12-4-03-001|PUD R3
22-40-17-12-4-03-002|PUD R3
22-40-17-12-4-03-003|PUD R3
22-40-17-13-1-00-005|R3
22-40-17-13-1-00-014|R1
22-40-17-13-1-00-015|R1
22-40-17-13-1-00-016|R1
22-40-17-13-1-01-001|PUD R3
22-40-17-13-1-01-028|PUD R3
22-40-17-13-1-01-032|PUD R3
22-40-17-13-1-01-033|PUD R3
22-40-17-13-1-01-034|PUD R3
22-40-17-13-1-01-035|PUD R3
22-40-17-13-1-01-036|PUD R3
22-40-17-13-1-01-037|PUD R3
22-40-17-13-1-01-038|PUD R3
22-40-17-13-1-01-041|PUD R3
22-40-17-13-1-01-042|PUD R3
22-40-17-13-1-01-043|PUD R3
22-40-17-13-1-01-044|PUD R3
22-40-17-13-1-01-046|PUD R3
22-40-17-13-1-01-047|PUD R3
22-40-17-13-1-01-048|PUD R3
22-40-17-13-1-02-001|PUD R3
22-40-17-13-1-03-001|PUD R3
22-40-17-13-1-03-002|PUD R3
22-40-17-13-2-00-013|R1
22-40-17-13-2-00-017|R1
22-40-17-13-2-00-018|R1
22-40-17-13-2-00-019|R1
22-40-17-13-3-00-016|R1
22-40-17-13-3-00-017|R1
22-40-17-13-3-00-021|R1
22-40-17-13-3-00-022|R1
22-40-17-13-3-00-023|R1
22-40-17-13-3-00-024|R1
22-40-17-13-4-00-021|R2
22-40-17-13-4-00-022|R2
22-40-17-13-4-00-023|R3
22-40-17-13-4-00-026|R2
22-40-17-13-4-00-027|R2
22-40-17-14-1-00-011|P/SP
22-40-17-14-1-00-012|R1
22-40-17-14-1-00-017|R1
22-40-17-14-1-00-018|R1
22-40-17-14-3-00-003|R2
22-40-17-14-3-00-005|R1
22-40-17-14-3-00-006|R1
22-40-17-14-3-00-007|R1
22-40-17-14-3-00-008|R1
22-40-17-14-3-00-010|R1
22-40-17-14-3-00-011|R1
22-40-17-14-3-00-012|R1
22-40-17-14-3-01-001|R3
22-40-17-14-3-01-002|R3
22-40-17-14-3-01-003|R3
22-40-17-14-3-02-001|R3
22-40-17-14-3-02-002|R2
22-40-17-14-4-00-012|R1
22-40-17-14-4-00-013|R1
22-40-17-15-1-00-001|R2
22-40-17-15-1-00-004|R1
22-40-17-15-1-00-005|R1
22-40-17-15-1-01-001|R3
22-40-17-15-1-01-002|R3
22-40-17-15-1-01-003|R3
22-40-17-15-1-02-001|R3
22-40-17-15-1-02-002|R3
22-40-17-15-1-02-003|R3
22-40-17-15-1-02-004|R3
22-40-17-15-1-02-005|R3
22-40-17-15-1-03-001|R2
22-40-17-15-1-03-002|R2
22-40-17-15-1-03-003|R2
22-40-17-15-1-03-004|R2
22-40-17-15-2-00-006|R2
22-40-17-15-2-04-001|R2
22-40-17-15-2-04-002|R2
22-40-17-15-2-04-003|R2
22-40-17-15-2-04-004|R2
22-40-17-15-2-05-001|R3
22-40-17-15-2-05-002|R3
22-40-17-15-2-05-003|R3
22-40-17-15-2-05-004|R3
22-40-17-15-2-05-005|R3
22-40-17-15-2-05-006|R3
22-40-17-15-3-00-001|R1
22-40-17-23-1-00-002|R1
22-40-17-23-1-00-003|R1
22-40-17-23-2-00-002|R1
22-40-17-23-2-00-003|R1
22-40-17-24-1-00-002|R2
22-40-17-24-1-00-006|R2
22-40-17-24-1-00-007|R2
22-40-17-24-1-00-008|R2
22-40-17-24-1-00-009|R2
22-40-17-24-1-00-010|R2
22-40-17-24-1-00-011|R2
22-40-17-24-1-00-012|R1
22-40-17-24-1-00-015|R1
22-40-17-24-1-00-016|R2
22-40-17-24-1-00-017|R2
22-40-17-24-2-00-013|R1
22-40-17-24-2-00-014|R1
22-40-17-24-3-00-001|P/SP
22-40-17-24-4-00-016|R1
22-40-17-24-4-00-018|R1
22-40-17-24-4-00-019|R1
22-40-17-25-1-00-002|R1
22-40-17-25-2-00-001|R1
22-40-17-25-4-00-001|P/SP
22-40-17-35-1-00-002|R2
22-40-17-35-1-01-003|R2
22-40-17-35-1-01-004|R2
22-40-17-35-1-03-001|R2
22-40-17-35-1-03-002|R2
22-40-17-35-1-03-003|R2
22-40-17-35-1-03-004|R2
22-40-17-35-1-04-001|R2
22-40-17-35-1-04-002|R2
22-40-17-35-1-04-003|R2
22-40-17-35-1-04-004|R2
22-40-17-35-1-04-005|R2
22-40-17-35-1-04-006|R2
22-40-17-35-1-04-007|R2
22-40-17-35-1-04-008|R2
22-40-17-35-1-04-009|R2
22-40-17-35-1-04-010|R2
22-40-17-35-1-04-011|R2
22-40-17-35-1-04-012|R2
22-40-17-35-1-04-013|R2
22-40-17-35-1-04-014|R2
22-40-17-35-1-05-001|R2
22-40-17-35-1-05-002|R2
22-40-17-35-1-05-003|R2
22-40-17-35-1-05-004|R2
22-40-17-35-1-05-005|R2
22-40-17-35-1-05-006|R2
22-40-17-35-1-05-007|R2
22-40-17-35-2-00-003|R2
22-40-17-35-2-02-001|R2
22-40-17-35-2-02-002|R2
22-40-17-35-2-02-003|R2
22-40-17-35-2-02-004|R2
22-40-17-35-2-02-005|R2
22-40-17-35-2-02-006|R2
22-40-17-35-2-02-007|R2
22-40-17-35-2-02-008|R2
22-40-17-35-2-02-009|R2
22-40-17-35-2-02-010|R2
22-40-17-35-2-02-011|R2
22-40-17-35-2-02-012|R2
22-40-17-35-2-02-013|R2
22-40-17-35-2-02-014|R2
22-40-17-35-2-02-015|R2
22-40-17-35-2-06-001|R2
22-40-17-35-2-06-002|R2
22-40-17-35-2-06-003|R2
22-40-17-35-2-06-004|R2
22-40-17-35-2-06-005|R2
22-40-17-35-2-06-006|R2
22-40-17-35-2-06-007|R2
22-40-17-35-2-06-008|R2
22-40-17-35-2-06-009|R2
22-40-17-35-2-06-010|R2
22-40-17-36-1-00-001|R1
22-41-11-06-2-00-003|R1
22-41-11-06-2-00-004|R1
22-41-11-19-2-00-001|R1
22-41-11-30-1-00-003|R1
22-41-11-30-1-00-004|R1
22-41-11-30-1-00-005|R1
22-41-11-30-2-00-003|R1
22-41-11-30-2-00-004|R1
22-41-11-30-4-00-004|R1
22-41-11-32-1-00-002|R1
22-41-11-33-3-00-002|R1
22-41-12-24-1-00-002|R1
22-41-12-24-1-00-003|R1
22-41-14-08-4-00-001|R1
22-41-15-04-1-00-001.09|P/SP
22-41-15-04-1-00-001.11|P/SP
22-41-15-04-1-00-001.14|P/SP
22-41-15-04-1-00-001.15|P/SP
22-41-15-04-1-00-001.16|P/SP
22-41-15-04-1-00-001.17|P/SP
22-41-15-17-3-00-002|R2
22-41-15-18-4-00-003|R3
22-41-15-18-4-00-004|R1
22-41-15-18-4-01-002|R3
22-41-15-18-4-01-003|R3
22-41-15-18-4-01-004|R3
22-41-15-18-4-01-005|R3
22-41-15-18-4-01-007|R3
22-41-15-18-4-01-008|R3
22-41-15-18-4-02-001|R3
22-41-15-19-1-00-004|R2
22-41-15-19-1-00-005|R2
22-41-15-20-2-00-003|R2
22-41-15-20-2-00-004|R2
22-41-15-20-2-00-005|R2
22-41-15-20-2-00-006|R2
22-41-16-02-3-00-002|R3
22-41-16-02-3-00-003|R3
22-41-16-02-3-00-004|R3
22-41-16-02-3-00-005|R3
22-41-16-02-3-99-001|R3
22-41-16-03-1-00-004|R1
22-41-16-03-1-00-005|R1
22-41-16-03-1-00-006|R1
22-41-16-03-2-00-002|R1
22-41-16-03-2-00-005|R2
22-41-16-03-2-00-006|R2
22-41-16-03-3-00-001|R1
22-41-16-03-3-00-002|R1
22-41-16-03-3-00-004|R1
22-41-16-03-3-00-005|R1
22-41-16-03-4-00-003|R1
22-41-16-03-4-00-004|R1
22-41-16-03-4-00-005|R1
22-41-16-03-4-00-006|R1
22-41-16-04-1-00-011|R1
22-41-16-04-1-00-012|R2
