# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-39-15-30-2-00-011|R1
22-39-15-30-4-00-003|R2
22-39-15-30-4-01-001|R2
22-39-15-30-4-01-002|R2
22-39-15-30-4-01-003|R2
22-39-15-31-1-00-004|R3
22-39-15-31-1-00-005|R3
22-39-15-31-1-00-006|R3
22-39-15-31-1-00-007|R3
22-39-15-31-1-00-009|R3
22-39-15-31-1-00-010|R3
22-39-15-31-1-00-011|R3
22-39-15-31-1-00-012|R3
22-39-15-31-1-00-013|R3
22-39-15-31-1-00-014|R3
22-39-15-31-1-00-015|R2
22-39-15-31-1-00-016|R2
22-39-15-31-1-01-001|R3
22-39-15-31-1-01-002|R3
22-39-15-31-1-01-003|R3
22-39-15-31-1-01-004|R3
22-39-15-31-1-01-005|R3
22-39-15-31-1-02-002|R3
22-39-15-31-1-02-003|R3
22-39-15-31-1-02-005|R3
22-39-15-31-1-02-006|R3
22-39-15-31-1-02-007|R3
22-39-15-31-1-02-008|R3
22-39-15-31-1-02-009|R3
22-39-15-31-1-02-010|R3
22-39-15-31-1-02-011|R3
22-39-15-31-1-02-012|R3
22-39-15-31-1-02-013|R3
22-39-15-31-1-02-014|R3
22-39-15-31-1-02-015|R3
22-39-15-31-1-02-016|R3
22-39-15-31-1-02-017|R3
22-39-15-31-1-04-001|R2
22-39-15-31-1-04-002|R2
22-39-15-31-1-04-003|R2
22-39-15-31-1-05-001|R3
22-39-15-31-1-05-002|R3
22-39-15-32-2-00-001|R3
22-39-15-32-2-00-003|R3
22-39-15-32-2-00-004|R3
22-39-15-32-2-00-005|R3
22-39-15-32-2-00-006|R3
22-39-15-32-2-00-007|R3
22-39-15-32-2-00-008|R3
22-39-15-32-2-00-009|R3
22-39-15-32-2-00-010|R3
22-39-15-32-2-00-012|R3
22-39-15-32-2-00-013|R2
22-39-15-32-2-00-017|P/SP
22-39-15-32-2-00-018|P/SP
22-39-15-32-2-00-019|BC
22-39-15-32-2-00-020|R3
22-39-15-32-2-00-021|R3
22-39-15-32-3-00-014|R3
22-39-15-32-3-00-016|R1
22-39-15-32-3-00-017|R1
22-39-15-32-3-00-018|P/SP
22-39-15-32-3-00-019|P/SP
22-39-16-01-1-00-003|R2
22-39-16-01-1-00-005|R2
22-39-16-01-2-00-004|R2
22-39-16-01-3-00-010|R2
22-39-16-01-3-00-012|R2
22-39-16-01-3-00-013|R1
22-39-16-01-3-01-001|R2
22-39-16-01-3-01-002|R2
22-39-16-01-3-02-001|R2
22-39-16-01-3-02-002|R2
22-39-16-01-4-00-006|R1
22-39-16-01-4-00-008|R1
22-39-16-01-4-00-009|R1
22-39-16-02-1-00-005|R2
22-39-16-02-1-00-019|R1
22-39-16-02-1-00-020|R2
22-39-16-02-1-02-004|R3
22-39-16-02-1-02-005|R3
22-39-16-02-1-04-003|R3
22-39-16-02-2-00-003|R1
22-39-16-02-2-00-003.01|R1
22-39-16-02-2-00-020|R1
22-39-16-02-2-00-021|R2
22-39-16-02-2-00-024|R2
22-39-16-02-2-00-025|R2
22-39-16-02-2-00-026|R2
22-39-16-02-2-00-027|R2
22-39-16-02-3-00-012|NC
22-39-16-02-3-00-013|NC
22-39-16-02-3-00-014|NC
22-39-16-02-3-00-015|NC
22-39-16-02-3-00-016|WHB
22-39-16-02-3-00-017|WHB
22-39-16-02-3-00-018|WHB
22-39-16-02-3-00-019|WHB
22-39-16-02-3-00-020|WHB
22-39-16-02-4-00-009|R2
22-39-16-02-4-00-010|R2
22-39-16-02-4-00-011|R2
22-39-16-02-4-00-012|R2
22-39-16-02-4-00-013|R2
22-39-16-02-4-00-014|R2
22-39-16-02-4-00-015|R2
22-39-16-02-4-00-016|R2
22-39-16-02-4-00-017|R2
22-39-16-02-4-01-001|R3
22-39-16-02-4-01-002|R3
22-39-16-02-4-01-003|R3
22-39-16-02-4-02-001|R3
22-39-16-02-4-02-002|R3
22-39-16-02-4-02-006|R3
22-39-16-02-4-02-007|R3
22-39-16-02-4-02-008|R3
22-39-16-02-4-02-009|R3
22-39-16-02-4-02-010|R3
22-39-16-02-4-03-001|R2
22-39-16-02-4-03-002|R2
